X,Y,OBJECTID,fcode,descripci,Nam,DIRECCION,TIPO,icon_url
-79.363016921079,-0.082025419313157,"53",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Ciudad de Madrid,LA CONCORDIA,ESCUELA,./0.png
-79.1952443017135,-0.226847557691647,"54",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Miguel Jijon,,ESCUELA,./0.png
-79.1807637712134,-0.235282590810544,"55",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Fernando horacío Chavez Reyes,,ESCUELA,./0.png
-79.1943719097778,-0.235600868643785,"56",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Carmen America Neira Lopez,ENTRADA A LA BENGALA JUNTO AL PORTON,ESCUELA,./0.png
-79.1864229307985,-0.232751362786462,"57",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Franklin Venegas,COOP. ERNESTO CHE GUEVARA,JARDIN,./0.png
-79.1717992213037,-0.23737931161448,"58",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Unidad Educativa Kasama,CALLE JULÍO CESAR BERMEO,ESCUELA/JARDIN,./0.png
-79.3052157228467,-0.162065500946413,"59",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",(S/n) Kasama,KM 19,ESCUELA/JARDIN,./0.png
-79.3634916903775,-0.110051550223469,"60",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Nicolas Clemente Peña,VIA COLORADOS DEL BUA,ESCUELA,./0.png
-79.3384365565162,-0.134440430713123,"61",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",José Luis Riofrío,KM. 25 VIA COLORADOS DEL BUA,ESCUELA,./0.png
-79.2066208242005,-0.25818246012559,"62",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Divina Luz,BY PASS CHONE QUEVEDO,ESCUELA,./0.png
-79.2039058757685,-0.273835225077628,"63",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Paraiso Infantil,,JARDIN,./0.png
-79.2127797627943,-0.278855359597919,"64",AL015,"ESTRUCTURA RELATIVAMENTE PERMANENTE, DISEÑADA PARA ALGÚN USO PARTICULAR",Jardin Manitas Traviesas,,JARDIN,./0.png
